index,_id,ID,x,y,group,status,time
5240726,60cd08b81176d15ea268e36c,0000021800000218,4666,294,2,0,2021/06/18 22:57:03:350
5240731,60cd08b91176d15ea268e371,0000021400000214,6003,1303,2,4,2021/06/18 22:47:25:924
5240768,60cd08ba1176d15ea268e396,0000021800000218,4666,296,2,0,2021/06/18 22:57:05:688
5240846,60cd08bc1176d15ea268e3e4,0000021800000218,4665,296,2,0,2021/06/18 22:57:06:804
5240886,60cd08bd1176d15ea268e40c,0000021800000218,4652,308,2,0,2021/06/18 22:57:10:204
5240926,60cd08be1176d15ea268e434,0000021800000218,4646,311,2,0,2021/06/18 22:57:10:295
5240970,60cd08bf1176d15ea268e460,0000021800000218,4648,309,2,0,2021/06/18 22:57:11:477
5241010,60cd08c11176d15ea268e488,0000021800000218,4657,301,2,0,2021/06/18 22:57:12:549
5241058,60cd08c21176d15ea268e4b8,0000021800000218,4660,299,2,0,2021/06/18 22:57:13:810
5241178,60cd08c51176d15ea268e530,0000021800000218,4660,300,2,0,2021/06/18 22:57:14:939
5241222,60cd08c61176d15ea268e55c,0000021800000218,4664,304,2,0,2021/06/18 22:57:16:013
5241304,60cd08c91176d15ea268e5ae,0000021800000218,4664,303,2,0,2021/06/18 22:57:17:255
5241344,60cd08ca1176d15ea268e5d6,0000021800000218,4664,302,2,0,2021/06/18 22:57:18:428
5241390,60cd08cb1176d15ea268e604,0000021800000218,4666,301,2,0,2021/06/18 22:57:19:583
5241399,60cd08cb1176d15ea268e60d,0000021400000214,5940,1333,2,4,2021/06/18 22:47:32:895
5241464,60cd08cd1176d15ea268e64e,0000021800000218,4665,301,2,0,2021/06/18 22:57:20:714
5241496,60cd08ce1176d15ea268e66e,0000021800000218,4665,300,2,0,2021/06/18 22:57:23:066
5241530,60cd08d01176d15ea268e690,0000021800000218,4665,300,2,0,2021/06/18 22:57:24:236
5241608,60cd08d21176d15ea268e6de,0000021800000218,4666,300,2,0,2021/06/18 22:57:25:406
5241612,60cd08d21176d15ea268e6e2,0000021800000218,4665,300,2,0,2021/06/18 22:57:27:684
5241642,60cd08d31176d15ea268e700,0000021800000218,4665,299,2,0,2021/06/18 22:57:28:863
5241648,60cd08d31176d15ea268e706,0000021800000218,4666,297,2,0,2021/06/18 22:57:30:013
5241684,60cd08d41176d15ea268e72a,0000021800000218,4666,300,2,0,2021/06/18 22:57:32:347
